id	document	label
27	이유 있다 남녀갈등 여자 권리 주장 과거 남녀갈등 현대 남녀갈등 여자 우월 사회 구현 목표 요구 조건 충족 사회 구조 자체 남자 불리 뜯 고치 작업 수행 문제 문제 단순 밥그릇 싸움 승자 패자 나뉘 끝 문제 사회 이루 근간 남자 여자 결혼 출산 사회 권리 한쪽 기울 남자 여자 사회 맺 제도 결혼 기피 이유 남녀갈등 사회 만들어야 남자 법 제도 사회 장치 때문에 바보 이상 남자 결혼 기피 밖 없다 구조 과거 남녀갈등 본산 미국 결혼 신고 미루 식 편법 남자 사회 제도 기피 남자 대부분 유럽 마찬가지 남녀갈등 남녀갈등 사람 대우 받는 세상 이상 세상 사회 장치 강압 남녀갈등 평등 사상 방법 과거 집 가격 원인 결혼 사실 젊은이 심정 결혼 원하 남녀갈등 확산 결혼 원하 마음 사라지 두려움 치열 남자 비교 영원 영혼 단짝 바라보 남녀갈등 사상 때문에	27
28	오늘 뉴스 영국 신생아 출생 신고 남자 이름 무함마드 영국 이민 동애 영국 본토 사람 제치 애낳기 소리 선진국 여자 교육비 수준 지위 높은 수록 출산율 밖 없다 인류 문제	28
29	가지 분석 아시아 내리 기존 사회 지탱 출산 결혼 개체 조절 가부장 유교문화 문화 박살 이유 이유 때문에 분업 시스템 박살 난거지 남자 여자 부모 점지 상대 만나 결혼 마누 집 남자 부모 케어 시스템 나가 노후 분업 시스템 집 명의 이상 출산 잡소리 듣 여자 입장 상황 이렇 남자 입장 이상 결혼 메리트 없다 방송 여자 애기 죽이 일 남편 탓 여자 바람 일 남편 비교 행위 소위 여성학자 정신병자 떠들 대가리 결혼 결혼 자체 여자 남자 섹스 튀 이상 삶 결혼 어머니 있다 결혼 어머니 사람 없다 마누라 있다 여자 부모 모시 사는게 사는게	29
30	한국 소멸 좋은 한국 사회 볼일 없다 한국 남자 동남아 조선족 여자 결혼 애낳기 나라 희망 있다 결혼 싫다 애낳기 고소득 한국 여자 정자은행 애낳기 사람 많이 법 금지 풀 일본 가능 배 발해 지배 한국인 피지배층 문화 가정 한국인 전부 지배 과정 다수 한국인 문화 가정 결국 밀려나 역차별 받는 사회 문제 끊임없	30
31	가사노동 양육 지원 결혼 직장 여자 우대 정책 때문에 남자 차별 받는 여자 남녀갈등 늘어나 때문에	31
32	교육비 시절 노력 공부 지금 사는게 있다 시간 즐기 행복감 느끼 살아가 인생 버리 남편 뒷바라지 사는게 죽다 싫다 성공 남자 댓글 남자 애낳기 머리 여자 우울	32
33	정부 남녀갈등 남녀갈등 정부 남자 원인 정신머리 반 해결	33
34	남녀갈등 구분 없다 남녀갈등 경제 활동 다라 육아 지원 맞벌이 남자 어렵 직종 도전 여자 급여 일 인문 예술 육아 지원 여자 이공 지원 남자 떨어지 컴퓨터 건설 엔지니어링 일 고되 급여 높은 직종 퇴사 높은 유교문화 직장 내 남녀갈등 차별 때문에 주변 둘러보 여자 징징대 일쑤 기본 일 싫다 특징 비교 직원 집 돌아가 아내 독박육아 육아 같은 이상 소리 들어가 압박 결혼 독박육아 경제 활동 아내 결혼정보회사 여자 남자 바라 최소 연봉 얘기 남편 육아 집 값 얘기 나라 아파트 유교문화 여자 남자 오 여자 오 사회 인식 생각 인식 변화 여자 불리 남자 불리 없다 남자 독박육아 육아 가정주부 사회 루저 결혼 연애 치열 비교 사회 몸 던지 집 돈벌기 갖 가정주부 독박육아 육아 인생 과제 남녀갈등 경제 활동 유교문화 치 문제 해결 쉽	34
35	아동 청소년 보호 최악 부분 정책 대부분 담당 여 폐지 국민 이상 미혼 부 출생 신고 법 여자 남자 출산 휴가 비교 이상 사회 풍조 먹고살기	35
36	옛날 남자 가사노동 여자 내조 여자 가사노동 가지 여자 가사노동 좋은 확률 커지 문제 생각 반대 남자 내조 확률 사회 구조 인식 남자 가사노동 좋은 여자 내조 결혼 출산 고통	36
37	새우깡 독박육아 노동 가정 독박육아 희생 자동 기 한쪽 개꿀 빠 이러 가장 희생 야무지 피해 의식 남자 발목 잡 스스로 발목 잡 성공 사람 비교 탓 사회 탓 우울 여자	37
38	새우깡 독박육아 가사노동 꼬 직장 일 몸 때우 집안일 가치 환산 정도 월급 차이 상쇄 만큼 분담 최소한 상식 집 남자 내	38
39	시댁 갑 남자 집안 갑 독박육아 육아 독박육아 가사노동 대리 효도 등등 때문에 결혼 자체 극 출산	39
40	남자 육아 엄마 여자 아빠 돈벌기	40
41	억 아파트 질문 자체 성립 웃기 남자 퍼센트 여자 궁금해하 애초 근접	41
42	얼굴 박살 남자	42
43	부부 육아 집안일 여자 인식 맞벌이 남편 홀 벌이 아내 집안일 육아 분담 남편 높은 통계 결과 철저 무시 이해 남자 남녀갈등 떠나 생각 결혼 가지 육아 육아 육아휴직 비교 회사 직장 동료 달가워하 주변 가족 어른 배우자 집 납두 일 밖 돌아다니 없다 일 그만두 육아 전념 바람 찌 일 육아 회사 퇴근 밥 준비 밥 맥 기저귀 갈 씻기 끝 배우자 밥 만들어야 빨래 돌리 널 청소기 배우 설거지 쓰레기 버리 놀 부부 집안일 육아 부담 생각 상황 결혼 출산 여자 맞벌이 출산 선택 경우 많이 생각 경우 많이	43
44	정치인 사기업 여자 병역의무 고용 할당제 이유 입사 사람 평가 방법 없다 학점 토익 중요 업무 토익 점수 가사노동 요구 선후배 거래처 인간 관계 지시 참 있다 애사심 야근 체력 요구 있다 여자 남자 야근 남자 같은 참고 사람 튀어나오 이기 휴가 먹고살기 보건 휴가 월요일 금요일 사춘기 여고생 다니 여고 직장 구분 같은 사기업 고용 자유 효율 인력 크러쉬 급 성공 욕망 커리어 우먼 효율 인력 집 애낳기 키우기 유교문화 고용 돈벌기 애낳기 그러 한중일 서양 근속 직장 날 인사 팀 양복 입 경호원 대동 그날 박스 방 경우 한중일 서양 차이	44
45	여자 애낳기 결혼 이유 이야기 듣 정부 남자 인구수 증가 바라 욕심 나라 국민 수준 유교문화 중국 상식 인간 많이 짐	45
46	결혼 이유 남자 돈벌기 없다 여자 돈벌기 없다	46
47	한국 줄다 설명 가능 여자 원 남자 평균 연봉	47
48	남자 넣	48
49	여자 버 남자 육아	49
50	노동 남자 몫	50
51	남자 사망 원인 고통 애낳기	51
52	나오 출생 얘기 지겹 단순 해결 문제 만큼 복합 원인 해결책 단순 제시 육아 지원 출생 지원 육아 여자 몫 진심 이해 임산부 출산 과정 산후 우울증 호르몬 변화 이해 육아 전적 남자 프로 양육 측면 맞벌이 안심 없다 베이비 시터 구하 하늘 별 따 코 긴급 보육 계속 부모 부르 친정 시댁 없다 선택지 없다 경제 평등 상황 자식 같은 허무 끝 사다리 계단 올라가 고통 물려주 교육비 감당 있다 감당 노후 고통 감당 사세 비교 부족 가능 높은 동물 환경 부 생식 포기 사람 동물 의 환경 이상 희망 보이 상황 출생 현상 바꾸 장기간 환경 개선 필수	52
53	이유 같은 이유 같은 출산 남녀갈등 남녀갈등 지위 있다 여자 안살림 남자 바깥일 유교문화 여자 본능 결혼 출산 갑과 을 존재 현재 인위 남녀갈등 만들어야 여권 신장 여자 바깥일 유교문화 출산 일 없다 남자 애낳기 자연 법칙 한국 남북 전쟁 발발 남자 씨 가능 않 자연 자생력 인간 전쟁 지금 우크라 전쟁 웃 소리	53
54	녀 낙태 인 평균 남자	54
55	연애 허들 자체 높은 애초 남자 여자 조건 따지 감정 시작 연애 이성 시작 연애 대다수	55
56	치열 비교 사교육비 증가 허례허식 바보 같은 혼례 장례 설문 집 가격 증가 남자 경제 부담 증가 여자 사회 진출 발생 육아 문제 개인주의 등장	56
57	이름 여자 이공 진출 늘어나 여자 징징대 주변 여자 없다 여자 남자 똑같 사람 좁 시각 갖 여자 친구 사귀	57
58	남녀갈등 구분 없다 남녀갈등 경제 활동 다라 육아 지원 맞벌이 남자 어렵 직종 도전 여자 급여 일 인문 예술 육아 지원 여자 이공 지원 남자 떨어지 컴퓨터 건설 엔지니어링 일 고되 급여 높은 직종 퇴사 높은 유교문화 직장 내 남녀갈등 차별 때문에 주변 둘러보 여자 징징대 일쑤 기본 일 싫다 특징 비교 직원 집 돌아가 아내 독박육아 육아 같은 이상 소리 들어가 압박 결혼 독박육아 경제 활동 아내 결혼정보회사 여자 남자 바라 최소 연봉 얘기 남편 육아 집 값 얘기 나라 아파트 유교문화 여자 남자 오 여자 오 사회 인식 생각 인식 변화 여자 불리 남자 불리 없다 남자 독박육아 육아 가정주부 사회 루저 결혼 연애 치열 비교 사회 몸 던지 집 돈벌기 갖 가정주부 독박육아 육아 인생 과제 남녀갈등 경제 활동 유교문화 치 문제 해결 쉽	58
59	사회 양육 사람 없다 예전 명의 외 벌이 생계유지 가능 유교문화 물가 오르 생활 수준 높은 소득 수준 따라잡 외벌 감당 맞벌이 친정 어머니 황혼 육아 가세 직장 생활 남자 육아 직장 직장 우선시 강요 여자 육아 직장 생활 지혜 해내 모성애 희생 없다 욕 먹고살기 애낳기	59
60	생각 원인 높은 집값 취업률 사교육 풍조 학력 일 가정 양립 어렵 있다 공교육 질 압도 사교육 비중 줄이 출산 육아 복지 시스템 마련 남자 육아 육아휴직 있다 사회 분위기 형성 있다 같은 집값 고점 찍 조금 떨어지 추세 애낳기 기르 세상 여럿 애낳기 기르 분 리스 펙 학생 입장 부모 살아가 축복 생각	60
61	앞 여자 지위 향상 출산 없다 여자 본능 상향 맞벌이 여자 지위 높은 비교 남자 없다 결혼 애낳기	61
62	출산 결혼 가능 이야기 출산율 원인 분석 결혼 남자 생각 많이 결혼 한국 여자 생각 차이 마음 온도 차 원인 찾 교육비 부메랑 효과 일시 지원 해결 없다	62
63	출산율 근본 원인 한국 사회 선진 여자 이익 받는 과거 여자 가사노동 좋은 남자 절대 줄어들 한국 여자 결혼관 변하 유지 신랑 좋은 학벌 좋은 직업 많이 소득 집 가져오 결혼 부부 평균 형편 낫 평균 애낳기 있다 여자 원 남자 자체 줄다 결혼 자체 문제	63
64	출산 여자 관련 법 문제 발생 여자 혼자 출산 양욱 불가 여고생 미혼모 배우자 출산 화장실 살해 많이 사회 문제 야기 경우 여자 비난 퍼붓 판사 여자 희생 전가 헝 여자 출산 한국인 태생 아기 국가 맡기 지급 여자 혼자 신원 확인 경우 여자 남자 동시 예 신원 확인 경우 지급 출산 믜 치료 생활비 지급 제안 국가 보육 시설 교육비 기관 국가 시민 끝 신원 분 자녀 가족 인정 학자금 생활비 보조	64
65	필리핀 한국 남자 만나 호주 한국 여자 만나	65
66	남자 여자 취업 전선 뛰어들 키우기 사람 없다 외벌 생활 어렵 가정 사는게 어려우 그렇 여자 취업 전선 나가 돈벌기 있다 비교 이혼 높은 있다 경우 사회 문제아 애낳기 방송 싹 이혼녀 이혼남 자랑 연속극 만들어야 후유증 이혼 부끄럽 생각 유교문화 대세 사회 판	66
67	대부분 집 구하 유교문화 여자 집 없다 차 없다 시작 남자 연애 막히 결혼 꿈 꾸 나이 먹고살기 중년 중요 정규직 취업 답없다 없다 저소득 문제 급 공무원 합격 간 라면 인생 일 만큼 최소 실수 령 넘어가 돈벌기 모이 대부분 취업 막히	67
68	엄마 애낳기 다짐 부모 맞벌이 엄마 쉬 날 집안일 아빠 결혼 시기 아빠 남자 행동 자식 키우기 같은 아기 애낳기 같은 키우기 고통 돈벌기 드 돈벌기 주식	68
69	이정 워킹 맘 좋은 끝 나라 최초 여자 대통령 비교 최근 예전 남자 일 여자 집안일 보통 유교문화 맞벌이 기본 여	69
70	집 화목 가정 엄마 아빠 일 엄마 집안일 아침 일어나 아침밥 퇴근 집안일 동안 아빠 아빠 남자 집안일 여자 도맡 생각 와중 엄마 출산 회사 그만두 경력단절 사업 분 존경 엄마 고통 사는게 싫다	70
71	면 보수 유교문화 같은 아빠 결혼 얘기 출산 얘기 정도 필수 선택 아빠 강요 아빠 엄마 옆 언니 애낳기 기르 생각 아빠 가사노동 노동 참여 도 높은 편 직장 아내 빨래 어제 같은 양말 신 비교 아내 욕 남자 직원 빨래 소리 피곤 정돈 아빠 남자 결혼	71
72	문제 아기 출산 나라 정부 복지 교육비 전담 있다 중요 아기 출산 요인 있다 출산 시기 남녀갈등 갈등 조정 시기 남녀갈등 간 남녀갈등 간극 출산 자체 회피 문제 나라 부모 사람 사는게 혼자 괜찮 골치 아프 스트레스 받는 사는게 바라 이야기 현실 남자 여자 접하 어렵 무섭 두렵 여자 남자 존재 상대 존재 서로 거부 사회 조장 역활 겉 드러나 부분 이야기 내심 속 마음 대안 찾 생각	72
73	남자 남자 역할 여자 여자 역할 의미 없다 대학 기술직 대우 중소기업 업무 환경 복지 개판 유교문화 법률 위반	73
74	남자 적극 반 분담 가사노동 육아 출산	74
75	본인 광역시 부모 전전 여친 꼴 결혼 사는게 예비 장인 장모 정도 남자 부담 꼴같잖 배신감 돌 헤어지 만나 섹스 오 부모 직업 전관 변호사 의사 변호사 결혼	75
76	근본 이유 정부 푼돈 쥐 평생 사는게 고정 지원금 나오 결혼 생각 중요 남자 지위 벌이 올라가 여자 역사 비교 보호 남자 기대 지금 주변 여자 물 남자 좋은 대부분 버 남자 존경 남자 비교 떨어지 사람 짝 맺 반면 남자 동등 조건 단계 여자 선호 여자 만남 결국 비교 가사노동 의심 자존 떨어지 여자 기피 남자 지위 결혼 올라가 인류 시점 생리 자연 흐름	76
77	여자 남자 남자 월급 반 버 맞벌이 출산	77
78	출산 떨어지 경제 이유 있다 혼인 혼인 떨어지 경제 나발 이유 남자 여자 이유 현상 한국 일본 중국 포함 동양 나라 일어나 현상 사는게 고통 마초 남자 결혼 뒷일 생각 애낳기 허리띠 졸라매 사는게 마초 거리 남자 잃 남자 결혼 연애 경우 대부분 새 커뮤니티 평생 결혼 연애 자조 소리 꺼내 젊은세대 유저 많이 비교 경제 유교문화 없다 소리 원인 복합 이유 있다 남자 과거 아버지 젊은세대 남자 상당수 때문에 남자 구애 예전 남녀갈등 관계 있다 수동 대부분 여자 남자 잃 남자 비교 짝 잃 혼인 떨어지 출산율 떨어지 그러 나라 기 비교 정책 결국 곳 삽질 개선 악화 출산 반등 남자 남자 되찾 포인트 잡 정책 남자 원인 짚 치열 발전 온라인 게임 산업 기존 남자 거리 아이돌 산업 추가 남자 버리 강요 남녀갈등 있다 원인 때문에 결과 벌어지 위 이유 외 수많 원인 복합 얽히 섥히 이렇 집값 잡 실업 잡 위 해결 차도 없다 부분 언론 체크 외면	78
79	예전 가난 남자 혼자 일 가정 살리 여자 대부분 집안일 유교문화 여자 사회 진출 많이 맞벌이 만 가족 가족 일 사회 요구	79
80	남자 결혼 남자 결혼 기피 남자 결혼 제도	80
81	집 좋은 월급 좋은 대한민국 남자 이상 최저시급 임금 아 먹고살기 사는게 결혼 애낳기 먹고살기 고요 꿈 가능	81
82	남자 없다 출산 가능 가요 유교문화 키우기 허리띠 졸라매 최저시급 임금 받는 부부 맛 벌이 애낳기 이혼 다행	82
83	남자 여자 유교문화 남자 조지 의식 언재 얌	83
84	남자 애낳기 듣 여자 쪽 신소 애낳기 타령 고통 방송	84
85	분석 어의 없다 한국 여자 만나 남자 여자 여자 남친 있다 그렇 같은 여자 만날 여자 없다 연구	85
86	결혼 돈벌기 돈벌기 없다 결혼 없다 베이비 키우기 허리 빠지 일 요세 바람 피 남자 여자 근대 결혼 순간 죽음	86
87	옛날 남자 집안일 사람 여자 돈벌기 사람 결혼 남자 집안일 본인 돈벌기 본인 버니 느끼 여자 돈벌기 사람 없다 결혼 글	87
88	주변 회사 출산 휴가 내 다음 날 짜르 있다 직장 없다 우울 이혼 나라 위자료 정도 받는 비교 인생 사는게 양육비 받는 방법 없다 개인 몫 사는게 죽다 직장 맘 업무 강 세 야근 일수 한국 미션 임파서블 챌린지 수준 여자 처우 개선 남자 직장 사는게 고통 여자 부자 이상 생기 인생 포기 각 남자 사는게 힘드 유흥 즐기 결혼 추세 사는게 힘드 상대방 바라 많이 눈 높은 사는게 주변 많이 유흥 문화 없애 결혼 여자 처우 개선 직장 문화 월급 개선 당장 결혼 집값 비싸 나라 월세 전세 좋은 시스템 있다 교육비 개선	88
89	한국 남자 집 인식 결혼 비용 균형 문제 시작 여자 입장 혼전 애낳기 헤어지 집장 남자 만나 사교육비 이상 애낳기 부담 결혼 자체 애낳기 선 직접 원인 같은	89
90	애낳기 부모 아빠 엄마 시간 집 보내 육아 좋은 육아 동참 남자 애기 우유 사노	90
91	일리 있다 여자 가치관 사회 여자 진출 남자 돈벌기 혼자 사니 결혼 애낳기 싫다 부양 싫다	91
92	분석 여자 지 없다 남자 얼굴 재산 출산 떨어지 근대 이제 그러	92
93	남자 생체 싫다 결혼 게임 현질 여행 편하 댕기 연애 개꿀 결혼 생기 꿈 꾸	93
94	남자 국방 병역의무 지 여자 출산 병역의무 지 유교문화 성격 출산 여자 그렇 정상 여자 대우 받는 사회 제도 정책 만들어야 생각 망가 애낳기 포기 골 여자 한국 많이 같은 헌법 법률 제정 규제 같은	94
95	사는게 이기심 때문에 애낳기 남자 돈벌기 버 기계 여자 독박육아 육아 부정 단어 비교 아기 존재 생활 불편 인식 사회 탓 정부 탓 이전 편하 사는게	95
96	한국 팩 트 한국 여자 많이 남자 찾 이혼 빼돌리	96
97	바뀌 사람 인식 문제 학벌 무시 경차 무시 월세 무시 임대 아파트 무시 기본 사람 본인 급 나누 없다 여자 남자 취급 연애 시작 고통 결혼 여자 쪽 부모 집 없다 남녀갈등 눈멀 바치 연애 없다 포기 얻 많이	97
98	남자 육아 육아휴직 필수 만들어야	98
99	문정부 남녀갈등 갈등 동안 최악 끌어올리 국가 부채 집값 개씹 창 내놓 바라 남자 미혼 향후 결혼 예정 통계 비교 체감 좆	99
100	애낳기 남편 물려주 기본 값 혼인 협의 있다 기본 값 남자 임산부 출산 상하 임산부 육아 과정 커리어 망하 돌보 경단 녀 싫다 애낳기 괜찮 남자 있다 결혼 가사노동 분담 최소한 사람 시 스트레스 없다 경우 결혼 생각 여자 많이 같은 부분 집값 때문에 생각 사람 많이 집값 있다 여자 이제 결혼 임산부 여자 손해 남자 손해 반박 받는 그렇 생각 사람 부들 결혼 있다 가사노동 있다 결혼 결혼 필수 선택 평생 동반자 모습 좋은 보이 사람 없다 행복	100
101	결혼 남자 결혼 남자 와이프 팔불출 같은 남자 만약 와이프 세상 존재 사람 가정 현실 결혼 같은 돈벌기 우울 떠나 만 많이	101
102	키우기 미안 정도 환경 같은 나라 상황 챙기 경제 남자 바라 여자 여자 바라 남자 정상 높은 기준 등등 출산 신기 정도	102
103	테슬라 놈 남자 제창 사람 우울 병자	103
104	테슬라 놈 남자 제창 사람 우울 병자	104
105	여자 귄 향상 문제 무리 있다 생각 틀 시간 세상 좋은 인권 문제 개선 여자 돈벌기 많이 남자 없다 사는게 엇나가 같은 보통 남녀갈등 이러 생각 복합 만약 가정 유교문화 괜찮 삶 사는게 문제 없다 삶 사는게 개인 행복 중요 생각 유교문화 전쟁 때문에 여자 인권 애낳기 상상 심정 있다	105
106	테슬라 놈 남자 제창 사람 우울 병자	106
107	남자 제창 사람 우울 병자	107
108	일본 여자 결혼 남자 반대 중국 한국 남자 여자 결혼 이유 일본 결혼 여자 유리 정책 만들어야 일본 여자 가사노동 육아 맞벌이 안함 한중 남자 여자 자존심 무시 기 댐	108
109	일본 여자 배 일본 여자 결혼 여자 듯이 이야기 흔하 한국 여자 가사일 한국 남자 실수 결혼 일 돌아오 싸우 말지 여자 한국 흔하 일본 결혼 독박육아 육아 비교 비교 여자 좋은 단어 있다 여자 위로 받는	109
110	출산 여자 남자 현실 여자 출산 남녀갈등 고통 겪 개선 예정 없다 결과 출산 중요 인구 반이 애낳기 예정 없다	110
111	세계 인구 팽창 나라 인구 감소 우울 붙잡 일 과거 입 덜 여자 시집 남녀갈등 협력 먹고살기 사는게 여자 먹고살기 유교문화 손해 장사 싫다 공장 다니 여자 일 고통 취집 생각 남자 입장 해결 자괴감 결혼 포기 이어지 결혼 시장 도 퇴 남자 많이	111
112	분석 동양 예전 남자 밖 일 여자 집안 일 구조 때문에 경제력 결혼 이루어지 사회 구조 현대 들어오 여자 직장 일 시작 남자 실직 경우 위 같은 경제력 구조 여자 눈 차 사람 없다 때문에 그러 결혼 애낳기 구조 이루어지	112
113	일본 남자 가사일 남편 하루 정도 지 빨래 넣 분리수거 정도 남편 없다 가사일 반 먹고살기 어질 더럽 힘	113
114	원인 집값 좋은 집구 존 직장 사교육 돈벌기 퍼붓 그러 배금주의 많이 여자 허영 사치 척 골 비어지 애낳기 남자 골 여자 만나 싫다 결혼 기피 결국 인구 부족	114
